Image,Method,Entropy,NPCR,UACI,Horizontal_Correlation,Vertical_Correlation,Diagonal_Correlation,Encryption_Time,Decryption_Time,Lossless_Decryption,Chi_Square,Key_Sensitivity_NPCR,Key_Sensitivity_Diff_Percent,Diff_Attack_HighRisk_NPCR,Diff_Attack_LowRisk_NPCR,Diff_Attack_HighRisk_UACI,Diff_Attack_LowRisk_UACI
person100_bacteria_475.jpeg,Full Encryption,7.9999313193760715,99.61294395162629,33.47824525781386,-0.1689864600738355,0.018344781160342213,0.002763928548137911,1.0843517000321299,1.0687859000172466,True,240.79399568724799,99.6023044587781,99.6023044587781,,,,
person100_bacteria_475.jpeg,ROI Encryption,7.9999313193760715,99.61294395162629,33.47824525781386,-0.19607420121353095,-0.010708720486122654,-0.009795162872562851,2.340886000019964,1.201893999997992,True,240.79399568724799,99.6023044587781,99.6023044587781,,,,
person100_bacteria_475.jpeg,RA-MIE,7.999939879025233,99.60028730585891,33.462977093115285,-0.04406789467271835,-0.010417612168189228,0.005958959072038642,1.9859755999641493,1.9570981999859214,True,210.87753271347412,99.6026604269403,99.6026604269403,,99.60985889422051,,33.456776887748795
Covid (1024).png,Full Encryption,7.999402037788693,99.61726378892047,33.517616513193985,-0.10598442602532333,0.01574157525174182,-0.04664878225549829,0.127232400001958,0.128632000007201,True,246.43753570300476,99.52956040780391,99.52956040780391,,,,
Covid (1024).png,ROI Encryption,7.999402037788693,99.61726378892047,33.517616513193985,-0.0952652957082672,0.012293065764744038,0.015738329895454945,0.22799210000084713,0.13895039999624714,True,246.43753570300476,99.52956040780391,99.52956040780391,,,,
Covid (1024).png,RA-MIE,7.99935037753569,99.6014704597539,33.44621379805913,0.03049037805327991,0.015188423334879578,0.03967073474080526,0.3988151999656111,0.3584180999896489,True,268.6607794511986,99.60415868599502,99.60415868599502,99.61659173236019,,33.43406275189767,
Covid (10).png,Full Encryption,7.999489284701354,99.62614079877923,33.50525309751215,-0.3032462671749767,-0.0058897496196962,0.004214347469956859,0.14420179999433458,0.13859990000491962,True,242.2263814302902,99.57537341902163,99.57537341902163,,,,
Covid (10).png,ROI Encryption,7.999489284701354,99.62614079877923,33.50525309751215,-0.29663379765377235,0.013637763329980401,-0.0018174444141469202,0.23234219994628802,0.14296119997743517,True,242.2263814302902,99.57537341902163,99.57537341902163,,,,
Covid (10).png,RA-MIE,7.999543530757964,99.62027173753557,33.39868935806855,-0.010746649681391125,-0.019188511082172437,0.020836488945017398,0.41653279995080084,0.40234530001180246,True,215.69108783050152,99.59855621093406,99.59855621093406,99.62027173753557,,33.39868935806855,
36 no.jpg,Full Encryption,7.998637389148588,99.61763382816015,33.50290633572367,-0.20683274552745695,-0.006483308208496831,-0.015606313694638095,0.06398879998596385,0.06640630000038072,True,284.50191844619087,99.49921939086026,99.49921939086026,,,,
36 no.jpg,ROI Encryption,7.998637389148588,99.61763382816015,33.50290633572367,-0.21170522982854761,0.01745750362626067,-0.009474641493564069,0.13599559996509925,0.05877390003297478,True,284.50191844619087,99.49921939086026,99.49921939086026,,,,
36 no.jpg,RA-MIE,7.9986983873806725,99.6017570320976,33.44921837910365,-0.0189120719034857,-0.00721643030219822,-0.01578336376706877,0.17407289997208863,0.13940939999883994,True,272.3661189172025,99.65137201979307,99.65137201979307,99.60043396575904,99.6017570320976,33.451464997631454,33.44921837910365
person103_bacteria_489.jpeg,Full Encryption,7.999924025548079,99.59870071684588,33.456251493428915,-0.054161954844932116,0.007500141274365188,0.017383035646182245,1.1467637000023387,1.0689255999750458,True,235.26767025089606,99.60703405017921,99.60703405017921,,,,
person103_bacteria_489.jpeg,ROI Encryption,7.999924025548079,99.59870071684588,33.456251493428915,-0.07805372987004841,0.006722713566873457,0.005516172528514525,1.307744299992919,1.030236100021284,True,235.26767025089606,99.60703405017921,99.60703405017921,,,,
