Method,Entropy,NPCR,UACI,Horizontal Correlation,Vertical Correlation,Diagonal Correlation,Average Encryption Time,Average Decryption Time
Full Encryption,7.999524224800359,99.61285626468174,33.47956788815786,-0.18818313002194623,-0.0016904483404778868,-0.00682880993983616,1.1154796700109728,1.1066946600039955
ROI Encryption,7.7600226608457685,84.64252862549827,28.445908094102258,0.01830560276809242,0.17756880295525476,0.168388630064501,1.4408977499813773,1.1031240899988917
RA-MIE,7.999535273280794,99.61087790512043,33.45737353510476,-0.03134549150435418,0.0056675326684455145,0.0017780829557369183,1.8074100299796556,1.6727415499917697
